127.0.0.1, 2018-10-14 11:57:33, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.588000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-14 11:57:34, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:57:45, GET, /welcome/start/index, HTTP/1.1, 404, 0.018000
127.0.0.1, 2018-10-14 11:57:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/default/index, HTTP/1.1, 200, 0.321000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 11:59:03, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-14 11:59:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:18:22, GET, /start/default/insert, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-10-14 12:18:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:19:27, GET, /start/default/insert, HTTP/1.1, 200, 0.071000
127.0.0.1, 2018-10-14 12:19:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:20:41, POST, /start/default/insert, HTTP/1.1, 303, 0.087000
127.0.0.1, 2018-10-14 12:20:41, GET, /start/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-10-14 12:20:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:21:07, GET, /admin, HTTP/1.1, 200, 0.114000
